executive_order_number,title,signing_date,publication_date,citation,html_url,pdf_url,document_number,dispute_found,dispute_count,case_closed,case_closed_count,title_french,key_facts_french,category_french
14157,Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists,2025-01-20,2025-01-29,90 FR 8439,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02004.pdf,2025-02004,no,0,no,0,Désignation de cartels et d'autres organisations comme organisations terroristes étrangères et terroristes mondiaux spécialement désignés,"Cet ordre crée un processus par lequel certains cartels internationaux et autres organisations seront désignés comme des Organisations Terroristes Étrangères ou des Terroristes Mondiaux Spécialement Désignés.
L'ordre déclare une urgence nationale pour faire face aux menaces posées par les cartels et autres organisations transnationales, telles que TdA et MS-13, qui opèrent à la fois à l'intérieur et à l'extérieur des États-Unis.
Dans les 14 jours suivant cet ordre, le Secrétaire d'État, en consultation avec le Secrétaire au Trésor, le Procureur Général, le Secrétaire à la Sécurité Intérieure et le Directeur du Renseignement National, doit prendre toutes les mesures appropriées pour recommander la désignation de tout cartel ou autre organisation comme une Organisation Terroriste Étrangère et/ou un Terroriste Mondial Spécialement Désigné.",Sécurité nationale
14158,"Establishing and Implementing the President's ""Department of Government Efficiency""",2025-01-20,2025-01-29,90 FR 8441,https://www.federalregister.gov/documents/2025/01/29/2025-02005/establishing-and-implementing-the-presidents-department-of-government-efficiency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02005.pdf,2025-02005,yes,9,yes,1,Mise en place et mise en œuvre du « Département de l'efficacité gouvernementale » du Président,"Cet ordre exécutif établit le Département de l'efficacité gouvernementale pour moderniser la technologie et le logiciel fédéraux afin de maximiser l'efficacité et la productivité gouvernementales.
Le United States Digital Service est publiquement renommé en United States DOGE Service (USDS) et sera établi au sein du Bureau exécutif du Président.
L'administrateur de l'USDS lancera une initiative de modernisation du logiciel pour améliorer la qualité et l'efficacité des logiciels, de l'infrastructure réseau et des systèmes informatiques à l'échelle du gouvernement.",Etat fédéral
14159,Protecting the American People Against Invasion,2025-01-20,2025-01-29,90 FR 8443,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02006.pdf,2025-02006,yes,6,no,0,Protéger le peuple américain contre l'invasion,"L'ordre exécutif révoque les précédentes directives sur l'immigration, y compris celles relatives à l'application des lois civiles sur l'immigration et à la création d'un cadre régional pour gérer la migration.
Il est prévu de créer des forces de sécurité intérieure dans tous les États pour mettre fin à la présence de cartels criminels, de gangs étrangers et d'organisations criminelles transnationales.
L'ordre exécutif prévoit également l'augmentation significative du nombre d'agents et d'officiers disponibles pour effectuer les fonctions d'officiers d'immigration.",Immigration
14160,Protecting the Meaning and Value of American Citizenship,2025-01-20,2025-01-29,90 FR 8449,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02007.pdf,2025-02007,yes,10,no,0,Protéger le sens et la valeur de la citoyenneté américaine,"La citoyenneté américaine ne s'étend pas automatiquement aux personnes nées aux États-Unis de mères présentes illégalement ou temporairement, et dont le père n'est pas citoyen américain ou résident permanent légal.
Aucun département ou agence du gouvernement des États-Unis ne doit émettre de documents reconnaissant la citoyenneté américaine à des personnes nées de mères présentes illégalement ou temporairement aux États-Unis, et dont le père n'est pas citoyen américain ou résident permanent légal.
Le secrétaire d'État, le procureur général, le secrétaire à la Sécurité intérieure et le commissaire à la Sécurité sociale doivent prendre toutes les mesures appropriées pour garantir que les réglementations et politiques de leurs départements et agences respectifs sont conformes à cet ordre.",Immigration
14161,Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats,2025-01-20,2025-01-30,90 FR 8451,https://www.federalregister.gov/documents/2025/01/30/2025-02009/protecting-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02009.pdf,2025-02009,no,0,no,0,Protéger les États-Unis contre les terroristes étrangers et autres menaces à la sécurité nationale et à la sécurité publique,"La politique des États-Unis vise à protéger ses citoyens des étrangers qui ont l'intention de commettre des attaques terroristes ou d'exploiter les lois sur l'immigration à des fins malveillantes.
Le secrétaire d'État, en coordination avec le procureur général, le secrétaire à la sécurité intérieure et le directeur du renseignement national, doit identifier toutes les ressources pour assurer un contrôle maximal des étrangers cherchant à entrer aux États-Unis.
Des mesures supplémentaires pour protéger la nation doivent être mises en place, y compris l'évaluation de tous les programmes de visa pour s'assurer qu'ils ne sont pas utilisés par des États-nations étrangers ou d'autres acteurs hostiles pour nuire aux intérêts nationaux des États-Unis.",Sécurité nationale
14162,Putting America First in International Environmental Agreements,2025-01-20,2025-01-30,90 FR 8455,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02010.pdf,2025-02010,no,0,no,0,Mettre l'Amérique en premier dans les accords environnementaux internationaux,"L'ambassadeur des États-Unis auprès des Nations Unies doit immédiatement soumettre une notification écrite formelle du retrait des États-Unis de l'Accord de Paris sous la Convention-cadre des Nations Unies sur les changements climatiques.
L'ambassadeur des États-Unis auprès des Nations Unies doit immédiatement soumettre une notification écrite formelle du retrait des États-Unis de tout accord, pacte, accord ou engagement similaire pris sous la Convention-cadre des Nations Unies sur les changements climatiques.
Le Plan de Financement Climatique International des États-Unis est immédiatement révoqué et annulé. Le Directeur du Bureau de Gestion et du Budget doit, dans les 10 jours suivant cet ordre, émettre des directives pour l'annulation de tous les fonds gelés.",Environnement
14163,Realigning the United States Refugee Admissions Program,2025-01-20,2025-01-30,90 FR 8459,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02011.pdf,2025-02011,no,0,no,0,Réalignement du Programme d'admission des réfugiés des États-Unis,"Le décret suspend le Programme d'admission des réfugiés aux États-Unis (USRAP) jusqu'à ce que l'entrée ultérieure de réfugiés aux États-Unis soit conforme aux intérêts du pays.
Il est établi que la sécurité publique et la sécurité nationale sont des considérations primordiales dans l'administration de l'USRAP, et seuls les réfugiés capables de s'assimiler pleinement et de manière appropriée aux États-Unis seront admis.
Le Secrétaire à la Sécurité intérieure suspend les décisions sur les demandes de statut de réfugié jusqu'à ce qu'une décision soit prise conformément à la section 4 de ce décret.",Immigration
14164,Restoring the Death Penalty and Protecting Public Safety,2025-01-20,2025-01-30,90 FR 8463,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02012.pdf,2025-02012,no,0,no,0,Rétablir la peine de mort et protéger la sécurité publique,"Le procureur général est chargé de poursuivre la peine de mort pour tous les crimes d'une gravité exigeant son utilisation.
Le procureur général doit prendre toutes les mesures appropriées pour modifier le Manuel de Justice en fonction de la politique et des objectifs énoncés dans ce décret exécutif.
Le procureur général doit prendre toutes les mesures appropriées pour chercher à renverser les précédents de la Cour suprême qui limitent l'autorité des gouvernements des États et fédéral à imposer la peine capitale.",Sécurité nationale
14165,Securing Our Borders,2025-01-20,2025-01-30,90 FR 8467,https://www.federalregister.gov/documents/2025/01/30/2025-02015/securing-our-borders,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02015.pdf,2025-02015,yes,3,no,0,Sécuriser nos frontières,"L'ordre exécutif prévoit l'établissement d'un mur physique et d'autres barrières, soutenus par un personnel et une technologie adéquats, pour sécuriser les frontières des États-Unis.
Il est prévu de détenir, dans la mesure maximale autorisée par la loi, les étrangers soupçonnés d'avoir enfreint la loi fédérale ou étatique, jusqu'à leur expulsion des États-Unis.
L'ordre exécutif prévoit également la reprise des Protocoles de Protection des Migrants le long de la frontière sud des États-Unis, en veillant à ce que les étrangers, en attente de procédures d'expulsion, soient renvoyés sur le territoire d'où ils viennent.",Immigration
14166,Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok,2025-01-20,2025-01-30,90 FR 8611,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02087.pdf,2025-02087,no,0,no,0,Application de la loi sur la protection des Américains contre les applications contrôlées par des adversaires étrangers à TikTok,"La loi ""Protecting Americans from Foreign Adversary Controlled Applications Act"" régule les applications contrôlées par des adversaires étrangers, notamment celles exploitées par TikTok et toute autre filiale de sa société mère basée en Chine, ByteDance Ltd.
Le président a ordonné au procureur général de ne prendre aucune mesure pour appliquer la loi pendant une période de 75 jours, afin de permettre à son administration de déterminer la marche à suivre concernant TikTok.
Le procureur général est chargé de prendre toutes les mesures appropriées pour émettre des directives écrites afin de mettre en œuvre les dispositions de cette ordonnance, y compris l'émission d'une lettre à chaque fournisseur indiquant qu'il n'y a eu aucune violation de la loi.",Sécurité nationale
14167,Clarifying the Military's Role in Protecting the Territorial Integrity of the United States,2025-01-20,2025-01-30,90 FR 8613,https://www.federalregister.gov/documents/2025/01/30/2025-02089/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02089.pdf,2025-02089,no,0,no,0,Clarification du rôle de l'armée dans la protection de l'intégrité territoriale des États-Unis,"Le Président ordonne que les Forces armées des États-Unis priorisent la protection de la souveraineté et de l'intégrité territoriale le long des frontières nationales.
Le Secrétaire à la Défense est chargé de réviser le Plan de Commandement Unifié pour assigner à l'USNORTHCOM la mission de sceller les frontières et de maintenir la souveraineté, l'intégrité territoriale et la sécurité des États-Unis.
Le Secrétaire à la Défense doit ajouter des exigences à la Planification de Contingence et au Guide pour l'Emploi de la Force, y compris une exigence de planification de niveau 3 pour l'USNORTHCOM pour sceller les frontières et repousser les formes d'invasion.",Défense
14168,Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,2025-01-20,2025-01-30,90 FR 8615,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02090.pdf,2025-02090,yes,19,no,0,Défendre les femmes contre l'extrémisme de l'idéologie du genre et restaurer la vérité biologique au sein du gouvernement fédéral,"L'administration défendra les droits des femmes et protégera la liberté de conscience en utilisant un langage et des politiques clairs et précis qui reconnaissent que les femmes sont biologiquement féminines et les hommes sont biologiquement masculins.
Il est établi que la politique des États-Unis est de reconnaître deux sexes, masculin et féminin, qui ne sont pas modifiables et sont ancrés dans une réalité fondamentale et incontestable.
Les agences fédérales doivent supprimer toutes les déclarations, politiques, réglementations, formulaires, communications ou autres messages internes et externes qui promeuvent ou inculquent l'idéologie du genre, et cesser d'émettre de tels messages.",Autres
14169,Reevaluating and Realigning United States Foreign Aid,2025-01-20,2025-01-30,90 FR 8619,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02091.pdf,2025-02091,yes,4,no,0,Réévaluation et réalignement de l'aide étrangère des États-Unis,"L'ordre exécutif stipule qu'aucune aide étrangère supplémentaire des États-Unis ne sera déboursée d'une manière qui n'est pas pleinement alignée sur la politique étrangère du Président des États-Unis.
Il est ordonné une pause de 90 jours dans l'aide au développement étranger des États-Unis pour évaluer l'efficacité des programmes et leur cohérence avec la politique étrangère des États-Unis.
Les chefs de département et d'agence responsables des programmes d'aide au développement étranger des États-Unis doivent faire une pause dans les nouvelles obligations et les déboursements de fonds d'aide au développement à des pays étrangers et à des organisations non gouvernementales internationales, en attendant les examens de ces programmes.",Sécurité nationale
14170,Reforming the Federal Hiring Process and Restoring Merit to Government Service,2025-01-20,2025-01-30,90 FR 8621,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02094.pdf,2025-02094,no,0,no,0,Réformer le processus d'embauche fédéral et restaurer le mérite dans le service gouvernemental,"Le décret exécutif ordonne la création d'un Plan Fédéral d'Embauche visant à recruter des Américains hautement qualifiés dédiés à la promotion des idéaux, valeurs et intérêts américains.
Le Plan Fédéral d'Embauche interdit l'embauche d'individus sur la base de leur race, sexe ou religion, et empêche l'embauche d'individus qui ne sont pas disposés à défendre la Constitution ou à servir fidèlement le pouvoir exécutif.
Le Plan Fédéral d'Embauche doit inclure des plans spécifiques pour améliorer l'attribution des postes du Service Exécutif Supérieur dans les agences du Cabinet, l'Agence de Protection de l'Environnement, le Bureau de Gestion et du Budget, et d'autres agences, afin de faciliter au mieux le leadership démocratique.",Etat fédéral
14171,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,2025-01-20,2025-01-31,90 FR 8625,https://www.federalregister.gov/documents/2025/01/31/2025-02095/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02095.pdf,2025-02095,yes,4,no,0,Restaurer la responsabilité dans les postes influençant les politiques au sein de la fonction publique fédérale,"L'ordre exécutif rétablit immédiatement avec pleine force et effet l'Ordre exécutif 13957 (Création du Calendrier F dans le Service Excepté), sous réserve des modifications décrites.
L'ordre exécutif modifie l'Ordre exécutif 13957 en remplaçant la lettre ""F"" par les mots ""Politique/Carrière"" et en apportant d'autres modifications spécifiques pour renforcer la responsabilité et la performance des employés fédéraux.
L'Ordre exécutif 14003 (Protection de la main-d'œuvre fédérale) est révoqué, et toutes les règles, réglementations, orientations ou autres politiques d'agence effectuées en vertu de l'Ordre exécutif 14003 ne seront pas appliquées.",Etat fédéral
14172,Restoring Names That Honor American Greatness,2025-01-20,2025-01-31,90 FR 8629,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02096.pdf,2025-02096,no,0,no,0,Restaurer des noms qui honorent la grandeur américaine,"Le décret ordonne la révision des nominations au Conseil américain sur les noms géographiques, avec la possibilité de remplacer les membres actuels conformément à la loi applicable.
Le décret exige que le nom ""Mount McKinley"" soit rétabli pour le plus haut sommet de l'Amérique du Nord, tout en conservant le nom ""Denali National Park and Preserve"" pour la zone du parc national environnante.
Le décret ordonne le changement de nom du ""Golfe du Mexique"" en ""Golfe d'Amérique"", avec la mise à jour conséquente du Système d'Information sur les Noms Géographiques (GNIS).",Environnement
14173,Ending Illegal Discrimination and Restoring Merit-Based Opportunity,2025-01-21,2025-01-31,90 FR 8633,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02097.pdf,2025-02097,yes,9,no,0,Mettre fin à la discrimination illégale et restaurer les opportunités basées sur le mérite,"Le président ordonne à tous les départements et agences exécutifs de mettre fin à toutes les préférences, mandats, politiques, programmes, activités, directives, réglementations, actions d'application, ordres de consentement et exigences discriminatoires et illégaux.
Les actions exécutives précédentes visant à promouvoir la diversité et l'inclusion dans la main-d'œuvre fédérale et à adresser la justice environnementale dans les populations minoritaires et à faible revenu sont révoquées.
Le directeur du Bureau de la gestion et du budget, avec l'aide du procureur général, est chargé de réviser et de modifier, le cas échéant, tous les processus, directives et orientations à l'échelle du gouvernement, d'exciser les références aux principes DEI et DEIA et de mettre fin à tous les mandats, exigences, programmes ou activités liés à la ""diversité"", ""équité"", ""prise de décision équitable"", ""déploiement équitable de l'aide financière et technique"", ""promotion de l'équité"", et similaires.",Autres
14174,Revocation of Certain Executive Orders,2025-01-21,2025-01-31,90 FR 8637,https://www.federalregister.gov/documents/2025/01/31/2025-02098/revocation-of-certain-executive-orders,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02098.pdf,2025-02098,no,0,no,0,Révocation de certains décrets présidentiels,"L'ordre exécutif 14042, assurant des protocoles de sécurité COVID adéquats pour les entrepreneurs fédéraux, est révoqué.
L'ordre exécutif 14043, exigeant la vaccination contre la maladie à coronavirus 2019 pour les employés fédéraux, est également révoqué.
Cet ordre ne doit pas être interprété comme affectant l'autorité accordée par la loi à un département ou une agence exécutive, ou à leur chef, ni les fonctions du Directeur du Bureau de la gestion et du budget en matière de propositions budgétaires, administratives ou législatives.",Etat fédéral
14175,Designation of Ansar Allah as a Foreign Terrorist Organization,2025-01-22,2025-01-31,90 FR 8639,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02103.pdf,2025-02103,no,0,no,0,Désignation d'Ansar Allah comme organisation terroriste étrangère,"Le président a initié un processus pour envisager la désignation d'Ansar Allah, également connu sous le nom de Houthis, comme organisation terroriste étrangère.
Il est de la politique des États-Unis de coopérer avec ses partenaires régionaux pour éliminer les capacités et les opérations d'Ansar Allah, le priver de ressources et mettre fin à ses attaques.
Le secrétaire d'État, après consultation avec le directeur du renseignement national et le secrétaire au Trésor, doit soumettre un rapport concernant la désignation d'Ansar Allah comme organisation terroriste étrangère.",Sécurité nationale
